antecedents_str,consequents_str,support,confidence,lift
"河南, 達賴",刑部,0.1,0.6666666666666667,2.666666666666667
河南,"刑部, 達賴",0.1,0.6666666666666667,2.666666666666667
河南,"太廟, 達賴",0.1,0.6666666666666667,1.6666666666666667
"河南, 達賴",蒙古,0.1,0.6666666666666667,3.3333333333333335
"蒙古, 達賴",河南,0.1,0.5,3.3333333333333335
河南,"蒙古, 達賴",0.1,0.6666666666666667,3.3333333333333335
蒙古,"河南, 達賴",0.1,0.5,3.3333333333333335
"河南, 達賴",班禪,0.1,0.6666666666666667,3.3333333333333335
"班禪, 達賴",河南,0.1,0.5,3.3333333333333335
河南,"班禪, 達賴",0.1,0.6666666666666667,3.3333333333333335
班禪,"河南, 達賴",0.1,0.5,3.3333333333333335
"河南, 達賴",提督,0.1,0.6666666666666667,2.2222222222222228
河南,"提督, 達賴",0.1,0.6666666666666667,2.666666666666667
"河南, 達賴",汗,0.1,0.6666666666666667,1.904761904761905
河南,"汗, 達賴",0.1,0.6666666666666667,2.2222222222222228
"河南, 達賴",青海,0.1,0.6666666666666667,1.904761904761905
河南,"達賴, 青海",0.1,0.6666666666666667,1.904761904761905
"兵部, 達賴",通政使,0.1,0.5,5.0
"通政使, 達賴",兵部,0.1,1.0,5.0
兵部,"通政使, 達賴",0.1,0.5,5.0
通政使,"兵部, 達賴",0.1,1.0,5.0
"通政使, 達賴",右侍郎,0.1,1.0,5.0
"右侍郎, 達賴",通政使,0.1,0.5,5.0
通政使,"右侍郎, 達賴",0.1,1.0,5.0
右侍郎,"通政使, 達賴",0.1,0.5,5.0
"通政使, 達賴",刑部,0.1,1.0,4.0
通政使,"刑部, 達賴",0.1,1.0,4.0
"通政使, 達賴",太皇太后,0.1,1.0,3.3333333333333335
通政使,"太皇太后, 達賴",0.1,1.0,3.3333333333333335
"通政使, 達賴",太廟,0.1,1.0,2.2222222222222223
通政使,"太廟, 達賴",0.1,1.0,2.5
"通政使, 達賴",康熙,0.1,1.0,1.5384615384615383
通政使,"康熙, 達賴",0.1,1.0,1.6666666666666667
"達賴, 都察院",阿思哈,0.1,0.6666666666666667,6.666666666666667
"達賴, 阿思哈",都察院,0.1,1.0,6.666666666666667
都察院,"達賴, 阿思哈",0.1,0.6666666666666667,6.666666666666667
阿思哈,"達賴, 都察院",0.1,1.0,6.666666666666667
"達賴, 阿思哈",刑部,0.1,1.0,4.0
阿思哈,"刑部, 達賴",0.1,1.0,4.0
"達賴, 阿思哈",太皇太后,0.1,1.0,3.3333333333333335
阿思哈,"太皇太后, 達賴",0.1,1.0,3.3333333333333335
"達賴, 阿思哈",太廟,0.1,1.0,2.2222222222222223
阿思哈,"太廟, 達賴",0.1,1.0,2.5
"兵部, 達賴",左侍郎,0.1,0.5,5.0
"左侍郎, 達賴",兵部,0.1,1.0,5.0
兵部,"左侍郎, 達賴",0.1,0.5,5.0
左侍郎,"兵部, 達賴",0.1,1.0,5.0
"左侍郎, 達賴",右侍郎,0.1,1.0,5.0
"右侍郎, 達賴",左侍郎,0.1,0.5,5.0
左侍郎,"右侍郎, 達賴",0.1,1.0,5.0
右侍郎,"左侍郎, 達賴",0.1,0.5,5.0
"左侍郎, 達賴",太皇太后,0.1,1.0,3.3333333333333335
左侍郎,"太皇太后, 達賴",0.1,1.0,3.3333333333333335
"常寺卿, 達賴",通政使,0.1,1.0,10.0
"通政使, 達賴",常寺卿,0.1,1.0,10.0
常寺卿,"通政使, 達賴",0.1,1.0,10.0
通政使,"常寺卿, 達賴",0.1,1.0,10.0
"兵部, 達賴",常寺卿,0.1,0.5,5.0
"常寺卿, 達賴",兵部,0.1,1.0,5.0
兵部,"常寺卿, 達賴",0.1,0.5,5.0
常寺卿,"兵部, 達賴",0.1,1.0,5.0
"常寺卿, 達賴",右侍郎,0.1,1.0,5.0
"右侍郎, 達賴",常寺卿,0.1,0.5,5.0
常寺卿,"右侍郎, 達賴",0.1,1.0,5.0
右侍郎,"常寺卿, 達賴",0.1,0.5,5.0
"常寺卿, 達賴",刑部,0.1,1.0,4.0
常寺卿,"刑部, 達賴",0.1,1.0,4.0
"常寺卿, 達賴",太皇太后,0.1,1.0,3.3333333333333335
常寺卿,"太皇太后, 達賴",0.1,1.0,3.3333333333333335
"常寺卿, 達賴",太廟,0.1,1.0,2.2222222222222223
常寺卿,"太廟, 達賴",0.1,1.0,2.5
"常寺卿, 達賴",康熙,0.1,1.0,1.5384615384615383
常寺卿,"康熙, 達賴",0.1,1.0,1.6666666666666667
"庚寅, 達賴",七月,0.1,1.0,2.857142857142857
庚寅,"七月, 達賴",0.1,1.0,3.3333333333333335
"庚寅, 達賴",太廟,0.1,1.0,2.2222222222222223
庚寅,"太廟, 達賴",0.1,1.0,2.5
"庚寅, 達賴",康熙,0.1,1.0,1.5384615384615383
庚寅,"康熙, 達賴",0.1,1.0,1.6666666666666667
"卿, 達賴",議政王,0.1,0.6666666666666667,6.666666666666667
"議政王, 達賴",卿,0.1,1.0,6.666666666666667
卿,"議政王, 達賴",0.1,0.6666666666666667,6.666666666666667
議政王,"卿, 達賴",0.1,1.0,6.666666666666667
"議政王, 達賴",吏部,0.1,1.0,3.3333333333333335
議政王,"吏部, 達賴",0.1,1.0,4.0
"議政王, 達賴",太皇太后,0.1,1.0,3.3333333333333335
議政王,"太皇太后, 達賴",0.1,1.0,3.3333333333333335
"議政王, 達賴",七月,0.1,1.0,2.857142857142857
議政王,"七月, 達賴",0.1,1.0,3.3333333333333335
"議政王, 達賴",太廟,0.1,1.0,2.2222222222222223
議政王,"太廟, 達賴",0.1,1.0,2.5
"議政王, 達賴",康熙,0.1,1.0,1.5384615384615383
議政王,"康熙, 達賴",0.1,1.0,1.6666666666666667
"河南, 達賴",四川,0.1,0.6666666666666667,6.666666666666667
"四川, 達賴",河南,0.1,1.0,6.666666666666667
河南,"四川, 達賴",0.1,0.6666666666666667,6.666666666666667
四川,"河南, 達賴",0.1,1.0,6.666666666666667
"四川, 達賴",都御史,0.1,1.0,4.0
四川,"達賴, 都御史",0.1,1.0,4.0
"四川, 達賴",太廟,0.1,1.0,2.2222222222222223
四川,"太廟, 達賴",0.1,1.0,2.5
"四川, 達賴",康熙,0.1,1.0,1.5384615384615383
四川,"康熙, 達賴",0.1,1.0,1.6666666666666667
"工部, 達賴",康熙,0.1,1.0,1.5384615384615383
工部,"康熙, 達賴",0.1,1.0,1.6666666666666667
"達賴, 阿思哈",尼哈番,0.1,1.0,10.0
"尼哈番, 達賴",阿思哈,0.1,1.0,10.0
阿思哈,"尼哈番, 達賴",0.1,1.0,10.0
尼哈番,"達賴, 阿思哈",0.1,1.0,10.0
"達賴, 都察院",尼哈番,0.1,0.6666666666666667,6.666666666666667
"尼哈番, 達賴",都察院,0.1,1.0,6.666666666666667
都察院,"尼哈番, 達賴",0.1,0.6666666666666667,6.666666666666667
尼哈番,"達賴, 都察院",0.1,1.0,6.666666666666667
"尼哈番, 達賴",刑部,0.1,1.0,4.0
尼哈番,"刑部, 達賴",0.1,1.0,4.0
"尼哈番, 達賴",太皇太后,0.1,1.0,3.3333333333333335
尼哈番,"太皇太后, 達賴",0.1,1.0,3.3333333333333335
"尼哈番, 達賴",太廟,0.1,1.0,2.2222222222222223
尼哈番,"太廟, 達賴",0.1,1.0,2.5
"胡土克圖, 達賴",尚書,0.25,0.5555555555555556,1.5873015873015874
尚書,"胡土克圖, 達賴",0.25,0.7142857142857143,1.5873015873015872
"尚書, 達賴",汗,0.2,0.5714285714285715,1.63265306122449
"汗, 達賴",尚書,0.2,0.6666666666666667,1.904761904761905
尚書,"汗, 達賴",0.2,0.5714285714285715,1.904761904761905
汗,"尚書, 達賴",0.2,0.5714285714285715,1.63265306122449
"提督, 達賴",總兵,0.15,0.6,2.0
"總兵, 達賴",提督,0.15,0.5,1.6666666666666667
提督,"總兵, 達賴",0.15,0.5,1.6666666666666667
總兵,"提督, 達賴",0.15,0.5,2.0
"提督, 達賴",青海,0.15,0.6,1.7142857142857144
"提督, 達賴",按察使,0.15,0.6,2.4
"按察使, 達賴",提督,0.15,0.7499999999999999,2.4999999999999996
提督,"按察使, 達賴",0.15,0.5,2.5
按察使,"提督, 達賴",0.15,0.6,2.4
"按察使, 達賴",吏部,0.15,0.7499999999999999,2.4999999999999996
"吏部, 達賴",按察使,0.15,0.6,2.4
按察使,"吏部, 達賴",0.15,0.6,2.4
吏部,"按察使, 達賴",0.15,0.5,2.5
"按察使, 達賴",六月,0.15,0.7499999999999999,2.142857142857143
"六月, 達賴",按察使,0.15,0.5,2.0
按察使,"六月, 達賴",0.15,0.6,2.0
"按察使, 達賴",尚書,0.15,0.7499999999999999,2.142857142857143
按察使,"尚書, 達賴",0.15,0.6,1.7142857142857144
"按察使, 達賴",太皇太后,0.1,0.5,1.6666666666666667
"按察使, 達賴",總兵,0.1,0.5,1.6666666666666667
"按察使, 達賴",朔,0.1,0.5,1.6666666666666667
"提督, 達賴",福建,0.15,0.6,2.9999999999999996
"福建, 達賴",提督,0.15,0.7499999999999999,2.4999999999999996
提督,"福建, 達賴",0.15,0.5,2.5
福建,"提督, 達賴",0.15,0.7499999999999999,2.9999999999999996
"福建, 達賴",按察使,0.1,0.5,2.0
"按察使, 達賴",福建,0.1,0.5,2.5
福建,"按察使, 達賴",0.1,0.5,2.5
"福建, 達賴",吏部,0.1,0.5,1.6666666666666667
福建,"吏部, 達賴",0.1,0.5,2.0
"福建, 達賴",總兵,0.1,0.5,1.6666666666666667
福建,"總兵, 達賴",0.1,0.5,1.6666666666666667
"福建, 達賴",班禪,0.1,0.5,2.5
"班禪, 達賴",福建,0.1,0.5,2.5
福建,"班禪, 達賴",0.1,0.5,2.5
班禪,"福建, 達賴",0.1,0.5,2.5
"福建, 達賴",朔,0.1,0.5,1.6666666666666667
福建,"朔, 達賴",0.1,0.5,1.6666666666666667
"福建, 達賴",昭陵,0.1,0.5,3.3333333333333335
"昭陵, 達賴",福建,0.1,0.6666666666666667,3.3333333333333335
福建,"昭陵, 達賴",0.1,0.5,3.3333333333333335
昭陵,"福建, 達賴",0.1,0.6666666666666667,3.3333333333333335
"昭陵, 達賴",提督,0.1,0.6666666666666667,2.2222222222222228
昭陵,"提督, 達賴",0.1,0.6666666666666667,2.666666666666667
昭陵,"太廟, 達賴",0.1,0.6666666666666667,1.6666666666666667
"班禪, 達賴",昭陵,0.1,0.5,3.3333333333333335
"昭陵, 達賴",班禪,0.1,0.6666666666666667,3.3333333333333335
班禪,"昭陵, 達賴",0.1,0.5,3.3333333333333335
昭陵,"班禪, 達賴",0.1,0.6666666666666667,3.3333333333333335
"永陵, 達賴",昭陵,0.15,1.0,6.666666666666667
"昭陵, 達賴",永陵,0.15,1.0,6.666666666666667
永陵,"昭陵, 達賴",0.15,1.0,6.666666666666667
昭陵,"永陵, 達賴",0.15,1.0,6.666666666666667
"永陵, 達賴",福建,0.1,0.6666666666666667,3.3333333333333335
"福建, 達賴",永陵,0.1,0.5,3.3333333333333335
永陵,"福建, 達賴",0.1,0.6666666666666667,3.3333333333333335
福建,"永陵, 達賴",0.1,0.5,3.3333333333333335
"永陵, 達賴",提督,0.1,0.6666666666666667,2.2222222222222228
永陵,"提督, 達賴",0.1,0.6666666666666667,2.666666666666667
永陵,"太廟, 達賴",0.1,0.6666666666666667,1.6666666666666667
"永陵, 達賴",班禪,0.1,0.6666666666666667,3.3333333333333335
"班禪, 達賴",永陵,0.1,0.5,3.3333333333333335
永陵,"班禪, 達賴",0.1,0.6666666666666667,3.3333333333333335
班禪,"永陵, 達賴",0.1,0.5,3.3333333333333335
"十月, 達賴",康熙,0.15,1.0,1.5384615384615383
十月,"康熙, 達賴",0.15,1.0,1.6666666666666667
"十月, 達賴",永陵,0.1,0.6666666666666667,4.4444444444444455
"永陵, 達賴",十月,0.1,0.6666666666666667,4.4444444444444455
十月,"永陵, 達賴",0.1,0.6666666666666667,4.4444444444444455
永陵,"十月, 達賴",0.1,0.6666666666666667,4.4444444444444455
"十月, 達賴",昭陵,0.1,0.6666666666666667,4.4444444444444455
"昭陵, 達賴",十月,0.1,0.6666666666666667,4.4444444444444455
十月,"昭陵, 達賴",0.1,0.6666666666666667,4.4444444444444455
昭陵,"十月, 達賴",0.1,0.6666666666666667,4.4444444444444455
"十月, 達賴",提督,0.1,0.6666666666666667,2.2222222222222228
十月,"提督, 達賴",0.1,0.6666666666666667,2.666666666666667
十月,"太廟, 達賴",0.1,0.6666666666666667,1.6666666666666667
"十月, 達賴",都御史,0.1,0.6666666666666667,2.666666666666667
十月,"達賴, 都御史",0.1,0.6666666666666667,2.666666666666667
"十月, 達賴",丹津,0.1,0.6666666666666667,2.2222222222222228
十月,"丹津, 達賴",0.1,0.6666666666666667,2.666666666666667
"十月, 達賴",青海,0.1,0.6666666666666667,1.904761904761905
十月,"達賴, 青海",0.1,0.6666666666666667,1.904761904761905
十月,"實錄, 達賴",0.1,0.6666666666666667,1.6666666666666667
