word,n_W,n_TW,P(W|T),Jaccard,PMI,Lift
七百,35,25,0.45454545454545453,0.38461538461538464,3.2992674974761904,9.844155844155845
三十八,7,5,0.09090909090909091,0.08771929824561403,3.299267497476191,9.844155844155845
六百,38,27,0.4909090909090909,0.4090909090909091,3.2916543133663154,9.792344497607656
九百,24,17,0.3090909090909091,0.27419354838709675,3.2871946651756154,9.762121212121212
四百,37,26,0.4727272727272727,0.3939393939393939,3.2756806771585745,9.684520884520884
九千,30,21,0.38181818181818183,0.328125,3.270121151816674,9.647272727272727
二千五百,10,7,0.12727272727272726,0.1206896551724138,3.270121151816674,9.647272727272727
宴,43,30,0.5454545454545454,0.4411764705882353,3.2653201655528528,9.61522198731501
三人,13,9,0.16363636363636364,0.15254237288135594,3.2541796079476524,9.54125874125874
垓,35,24,0.43636363636363634,0.36363636363636365,3.240373808422622,9.45038961038961
妻,19,13,0.23636363636363636,0.21311475409836064,3.237206529343939,9.429665071770335
各給,55,37,0.6727272727272727,0.5068493150684932,3.2127879767507226,9.271404958677685
李,79,53,0.9636363636363636,0.654320987654321,3.2088340310325285,9.246029919447642
囊,6,4,0.07272727272727272,0.07017543859649122,3.1997318239252754,9.187878787878788
三十九,12,8,0.14545454545454545,0.13559322033898305,3.1997318239252754,9.187878787878788
塔布,6,4,0.07272727272727272,0.07017543859649122,3.1997318239252754,9.187878787878788
孝陵遣,9,6,0.10909090909090909,0.10344827586206896,3.1997318239252763,9.187878787878788
鹽,42,28,0.509090909090909,0.4057971014492754,3.1997318239252763,9.187878787878788
五十五,6,4,0.07272727272727272,0.07017543859649122,3.1997318239252754,9.187878787878788
妻趙氏,6,4,0.07272727272727272,0.07017543859649122,3.1997318239252754,9.187878787878788
千八百,12,8,0.14545454545454545,0.13559322033898305,3.1997318239252754,9.187878787878788
阿霸,35,23,0.41818181818181815,0.34328358208955223,3.1789732637584787,9.056623376623376
蕩,43,28,0.509090909090909,0.4,3.1657844920019382,8.974207188160676
九十一,11,7,0.12727272727272726,0.11864406779661017,3.132617628066739,8.770247933884297
六百五十,8,5,0.09090909090909091,0.08620689655172414,3.1066224195337946,8.613636363636363
永不,8,5,0.09090909090909091,0.08620689655172414,3.1066224195337946,8.613636363636363
一千一百,8,5,0.09090909090909091,0.08620689655172414,3.1066224195337946,8.613636363636363
山,45,28,0.509090909090909,0.3888888888888889,3.100196150374362,8.575353535353536
二百六十,26,16,0.2909090909090909,0.24615384615384617,3.08425460650534,8.481118881118881
二十三,18,11,0.2,0.1774193548387097,3.074200941841417,8.422222222222222
六十九,5,3,0.05454545454545454,0.05263157894736842,3.047728730480226,8.26909090909091
七十三,5,3,0.05454545454545454,0.05263157894736842,3.047728730480226,8.26909090909091
