antecedents,consequents,ant_len,cons_len,support,confidence,lift,antecedents_tagged,consequents_tagged
"朔, 朝鮮國王",八旗,2,1,0.0527704485488126,0.7407407407407407,6.847335140018067,"朔(DATE), 朝鮮國王(PER)",八旗(SYS)
"堂子, 朝鮮國王",八旗,2,1,0.0527704485488126,0.7407407407407407,6.847335140018067,"堂子(LOC), 朝鮮國王(PER)",八旗(SYS)
朝鮮國王,"康熙, 滿洲",1,2,0.0527704485488126,0.7272727272727273,6.722838137472284,朝鮮國王(PER),"康熙(DATE), 滿洲(GRP)"
朝鮮國王,"大學士, 康熙",1,2,0.0633245382585752,0.8727272727272728,6.1824978759558205,朝鮮國王(PER),"大學士(OFF), 康熙(DATE)"
"八旗, 朝鮮國王",滿洲,2,1,0.050131926121372,0.926829268292683,5.7116795558199485,"八旗(SYS), 朝鮮國王(PER)",滿洲(GRP)
朝鮮國王,"康熙, 朔",1,2,0.0712401055408971,0.981818181818182,4.565755716675962,朝鮮國王(PER),"康熙(DATE), 朔(DATE)"
朝鮮國王,滿洲,1,1,0.0527704485488126,0.7272727272727273,4.481892091648189,朝鮮國王(PER),滿洲(GRP)
"康熙, 朝鮮國王",滿洲,2,1,0.0527704485488126,0.7272727272727273,4.481892091648189,"康熙(DATE), 朝鮮國王(PER)",滿洲(GRP)
"朝鮮國王, 正月",滿洲,2,1,0.0527704485488126,0.7272727272727273,4.481892091648189,"朝鮮國王(PER), 正月(DATE)",滿洲(GRP)
"元旦, 朝鮮國王",滿洲,2,1,0.0527704485488126,0.7272727272727273,4.481892091648189,"元旦(DATE), 朝鮮國王(PER)",滿洲(GRP)
"朝鮮國王, 貝勒貝子",大學士,2,1,0.0633245382585752,0.979591836734694,4.473075977378904,"朝鮮國王(PER), 貝勒貝子(OFF)",大學士(OFF)
"朝鮮國王, 諸王",大學士,2,1,0.0620052770448548,0.9791666666666666,4.47113453815261,"朝鮮國王(PER), 諸王(OFF)",大學士(OFF)
"朔, 朝鮮國王",滿洲,2,1,0.0514511873350923,0.7222222222222221,4.450767841011742,"朔(DATE), 朝鮮國王(PER)",滿洲(GRP)
"堂子, 朝鮮國王",滿洲,2,1,0.0514511873350923,0.7222222222222221,4.450767841011742,"堂子(LOC), 朝鮮國王(PER)",滿洲(GRP)
"八旗, 朝鮮國王",大學士,2,1,0.050131926121372,0.926829268292683,4.232148104613576,"八旗(SYS), 朝鮮國王(PER)",大學士(OFF)
"朝鮮國王, 藩王",大學士,2,1,0.0567282321899736,0.8958333333333333,4.090612449799196,"朝鮮國王(PER), 藩王(OFF)",大學士(OFF)
"朔, 朝鮮國王",大學士,2,1,0.0633245382585752,0.8888888888888888,4.0589022757697455,"朔(DATE), 朝鮮國王(PER)",大學士(OFF)
"堂子, 朝鮮國王",大學士,2,1,0.0633245382585752,0.8888888888888888,4.0589022757697455,"堂子(LOC), 朝鮮國王(PER)",大學士(OFF)
朝鮮國王,大學士,1,1,0.0633245382585752,0.8727272727272728,3.985104052573932,朝鮮國王(PER),大學士(OFF)
"康熙, 朝鮮國王",大學士,2,1,0.0633245382585752,0.8727272727272728,3.985104052573932,"康熙(DATE), 朝鮮國王(PER)",大學士(OFF)
"朝鮮國王, 正月",大學士,2,1,0.0633245382585752,0.8727272727272728,3.985104052573932,"朝鮮國王(PER), 正月(DATE)",大學士(OFF)
"元旦, 朝鮮國王",大學士,2,1,0.0633245382585752,0.8727272727272728,3.985104052573932,"元旦(DATE), 朝鮮國王(PER)",大學士(OFF)
"堂子, 朝鮮國王",朔,2,1,0.0712401055408971,1.0,2.36875,"堂子(LOC), 朝鮮國王(PER)",朔(DATE)
"朝鮮國王, 藩王",朔,2,1,0.0633245382585752,1.0,2.36875,"朝鮮國王(PER), 藩王(OFF)",朔(DATE)
"朝鮮國王, 貝勒貝子",朔,2,1,0.0646437994722955,1.0,2.36875,"朝鮮國王(PER), 貝勒貝子(OFF)",朔(DATE)
"朝鮮國王, 諸王",朔,2,1,0.0633245382585752,1.0,2.36875,"朝鮮國王(PER), 諸王(OFF)",朔(DATE)
"大學士, 朝鮮國王",朔,2,1,0.0633245382585752,1.0,2.36875,"大學士(OFF), 朝鮮國王(PER)",朔(DATE)
朝鮮國王,朔,1,1,0.0712401055408971,0.981818181818182,2.325681818181818,朝鮮國王(PER),朔(DATE)
