antecedents,consequents,ant_len,cons_len,support,confidence,lift,antecedents_tagged,consequents_tagged
"諸王, 貝勒貝子",大學士,2,1,0.07255936675461741,0.9166666666666665,4.185742971887549,"諸王(OFF), 貝勒貝子(OFF)",大學士(OFF)
藩王,滿洲,1,1,0.05013192612137203,0.6785714285714286,4.181765389082462,藩王(OFF),滿洲(GRP)
堂子,滿洲,1,1,0.052770448548812667,0.6779661016949152,4.17803500068899,堂子(LOC),滿洲(GRP)
正月,"康熙, 朔",1,2,0.08047493403693931,0.8970588235294117,4.171598700830025,正月(DATE),"康熙(DATE), 朔(DATE)"
"八旗, 滿洲",蒙古,2,1,0.055408970976253295,0.84,4.161568627450981,"八旗(SYS), 滿洲(GRP)",蒙古(GRP)
"大學士, 諸王",滿洲,2,1,0.051451187335092345,0.6724137931034483,4.143818334735071,"大學士(OFF), 諸王(OFF)",滿洲(GRP)
"滿洲, 諸王",大學士,2,1,0.051451187335092345,0.9069767441860465,4.141496217427851,"滿洲(GRP), 諸王(OFF)",大學士(OFF)
貝勒貝子,大學士,1,1,0.07651715039577836,0.90625,4.138177710843373,貝勒貝子(OFF),大學士(OFF)
"堂子, 藩王",大學士,2,1,0.06068601583113457,0.9019607843137255,4.118592015119301,"堂子(LOC), 藩王(OFF)",大學士(OFF)
"八旗, 正月",蒙古,2,1,0.05013192612137203,0.8260869565217391,4.092639954532538,"八旗(SYS), 正月(DATE)",蒙古(GRP)
"朝鮮國王, 藩王",大學士,2,1,0.05672823218997362,0.8958333333333333,4.090612449799196,"朝鮮國王(PER), 藩王(OFF)",大學士(OFF)
八旗,"大學士, 朔",1,2,0.055408970976253295,0.5121951219512195,4.086777920410784,八旗(SYS),"大學士(OFF), 朔(DATE)"
"堂子, 朔",大學士,2,1,0.06728232189973615,0.8947368421052632,4.085605580215599,"堂子(LOC), 朔(DATE)",大學士(OFF)
"堂子, 正月",大學士,2,1,0.06728232189973615,0.8947368421052632,4.085605580215599,"堂子(LOC), 正月(DATE)",大學士(OFF)
"元旦, 堂子",大學士,2,1,0.06728232189973615,0.8947368421052632,4.085605580215599,"元旦(DATE), 堂子(LOC)",大學士(OFF)
"康熙, 正月",滿洲,2,1,0.05672823218997362,0.6615384615384615,4.0767979987492176,"康熙(DATE), 正月(DATE)",滿洲(GRP)
"朔, 正月",滿洲,2,1,0.05408970976253298,0.6612903225806451,4.075268817204301,"朔(DATE), 正月(DATE)",滿洲(GRP)
"康熙, 貝勒貝子",滿洲,2,1,0.051451187335092345,0.6610169491525423,4.073584125671764,"康熙(DATE), 貝勒貝子(OFF)",滿洲(GRP)
"八旗, 正月",大學士,2,1,0.05408970976253298,0.8913043478260869,4.069931901519119,"八旗(SYS), 正月(DATE)",大學士(OFF)
"朔, 朝鮮國王",大學士,2,1,0.0633245382585752,0.8888888888888888,4.0589022757697455,"朔(DATE), 朝鮮國王(PER)",大學士(OFF)
